date,time,tide
2023-01-01,10:27,88
2023-01-01,23:38,48
2023-01-02,11:46,94
2023-01-03,00:35,35
2023-01-03,12:54,92
2023-01-04,01:25,23
2023-01-04,13:46,86
2023-01-05,02:09,13
2023-01-05,14:28,79
2023-01-06,02:49,6
2023-01-06,15:05,73
2023-01-07,03:25,1
2023-01-07,15:38,68
2023-01-08,03:59,-2
2023-01-08,16:09,64
2023-01-09,04:32,-2
2023-01-09,16:40,62
2023-01-10,05:03,2
2023-01-10,17:11,60
2023-01-11,05:34,8
2023-01-11,17:43,60
2023-01-12,06:05,18
2023-01-12,18:20,61
2023-01-13,06:38,32
2023-01-13,19:01,62
2023-01-14,07:15,48
2023-01-14,19:53,63
2023-01-15,08:00,66
2023-01-15,20:59,61
2023-01-16,09:02,83
2023-01-16,22:20,54
2023-01-17,10:35,93
2023-01-17,23:41,39
2023-01-18,12:11,92
2023-01-19,00:49,19
2023-01-19,13:21,83
2023-01-20,01:48,-2
2023-01-20,14:18,70
2023-01-21,02:42,-21
2023-01-21,15:07,56
2023-01-22,03:31,-35
2023-01-22,15:53,44
2023-01-23,04:17,-41
2023-01-23,16:36,34
2023-01-24,04:59,-37
2023-01-24,17:18,29
2023-01-25,05:38,-23
2023-01-25,17:59,28
2023-01-26,06:15,-2
2023-01-26,18:41,31
2023-01-27,06:49,24
2023-01-27,19:25,38
2023-01-28,07:23,52
2023-01-28,20:16,46
2023-01-29,08:00,78
2023-01-29,21:21,54
2023-01-30,08:55,100
2023-01-30,22:45,56
2023-01-31,10:53,112
2023-02-01,00:06,50
2023-02-01,12:46,106
2023-02-02,01:10,38
2023-02-02,13:46,93
2023-02-03,02:00,25
2023-02-03,14:27,79
2023-02-04,02:42,14
2023-02-04,15:00,67
2023-02-05,03:17,4
2023-02-05,15:30,56
2023-02-06,03:48,-3
2023-02-06,15:59,48
2023-02-07,04:18,-6
2023-02-07,16:27,41
2023-02-08,04:46,-5
2023-02-08,16:57,36
2023-02-09,05:14,1
2023-02-09,17:26,33
2023-02-10,05:42,11
2023-02-10,17:58,33
2023-02-11,06:10,27
2023-02-11,18:32,35
2023-02-12,06:41,45
2023-02-12,19:12,39
2023-02-13,07:17,67
2023-02-13,20:04,45
2023-02-14,08:05,89
2023-02-14,21:20,50
2023-02-15,09:39,107
2023-02-15,23:04,45
2023-02-16,11:57,105
2023-02-17,00:34,28
2023-02-17,13:19,87
2023-02-18,01:42,5
2023-02-18,14:14,65
2023-02-19,02:37,-17
2023-02-19,15:00,43
2023-02-20,03:23,-31
2023-02-20,15:42,24
2023-02-21,04:04,-36
2023-02-21,16:21,10
2023-02-22,04:41,-30
2023-02-22,16:59,3
2023-02-23,05:15,-14
2023-02-23,17:35,3
2023-02-24,05:46,9
2023-02-24,18:11,9
2023-02-25,06:14,35
2023-02-25,18:47,21
2023-02-26,06:40,61
2023-02-26,19:26,36
2023-02-27,07:05,85
2023-02-27,20:16,53
2023-02-28,07:36,107
2023-02-28,21:39,66
2023-03-01,09:34,123
2023-03-01,23:33,67
2023-03-02,13:02,112
2023-03-03,00:57,55
2023-03-03,13:47,93
2023-03-04,01:50,39
2023-03-04,14:17,75
2023-03-05,02:27,24
2023-03-05,14:45,59
2023-03-06,02:59,12
2023-03-06,15:12,45
2023-03-07,03:27,4
2023-03-07,15:39,32
2023-03-08,03:55,-1
2023-03-08,16:07,22
2023-03-09,04:23,1
2023-03-09,16:36,15
2023-03-10,04:51,8
2023-03-10,17:05,11
2023-03-11,05:18,20
2023-03-11,17:35,11
2023-03-12,05:47,37
2023-03-12,18:07,16
2023-03-13,06:16,57
2023-03-13,18:44,25
2023-03-14,06:50,79
2023-03-14,19:32,38
2023-03-15,07:36,100
2023-03-15,20:46,51
2023-03-16,09:25,117
2023-03-16,22:43,53
2023-03-17,12:00,107
2023-03-17,-,-
2023-03-18,00:26,37
2023-03-18,13:12,81
2023-03-19,01:33,15
2023-03-19,14:01,53
2023-03-20,02:22,-3
2023-03-20,14:43,27
2023-03-21,03:04,-14
2023-03-21,15:22,7
2023-03-22,03:42,-14
2023-03-22,15:59,-6
2023-03-23,04:16,-5
2023-03-23,16:35,-12
2023-03-24,04:48,11
2023-03-24,17:08,-9
2023-03-25,05:17,32
2023-03-25,17:40,0
2023-03-26,05:42,54
2023-03-26,18:12,15
2023-03-27,06:07,75
2023-03-27,18:46,33
2023-03-28,06:31,94
2023-03-28,19:27,53
2023-03-29,07:01,112
2023-03-29,20:32,73
2023-03-30,08:19,127
2023-03-30,22:40,80
2023-03-31,12:42,114
2023-04-01,00:24,71
2023-04-01,13:19,93
2023-04-02,01:19,55
2023-04-02,13:47,73
2023-04-03,01:56,41
2023-04-03,14:14,54
2023-04-04,02:27,29
2023-04-04,14:42,37
2023-04-05,02:57,20
2023-04-05,15:11,21
2023-04-06,03:26,17
2023-04-06,15:40,9
2023-04-07,03:56,19
2023-04-07,16:11,1
2023-04-08,04:27,27
2023-04-08,16:42,-3
2023-04-09,04:57,40
2023-04-09,17:15,-1
2023-04-10,05:29,56
2023-04-10,17:50,8
2023-04-11,06:02,75
2023-04-11,18:30,21
2023-04-12,06:42,93
2023-04-12,19:21,38
2023-04-13,07:41,110
2023-04-13,20:39,55
2023-04-14,09:46,117
2023-04-14,22:30,59
2023-04-15,11:44,99
2023-04-16,00:05,48
2023-04-16,12:49,71
2023-04-17,01:09,33
2023-04-17,13:37,43
2023-04-18,01:57,22
2023-04-18,14:18,19
2023-04-19,02:38,17
2023-04-19,14:57,1
2023-04-20,03:15,20
2023-04-20,15:34,-10
2023-04-21,03:49,30
2023-04-21,16:08,-12
2023-04-22,04:21,43
2023-04-22,16:41,-7
2023-04-23,04:50,58
2023-04-23,17:13,3
2023-04-24,05:17,74
2023-04-24,17:45,18
2023-04-25,05:44,88
2023-04-25,18:18,36
2023-04-26,06:14,102
2023-04-26,18:57,55
2023-04-27,06:53,114
2023-04-27,19:52,73
2023-04-28,08:12,124
2023-04-28,21:26,85
2023-04-29,11:12,116
2023-04-29,23:11,84
2023-04-30,12:20,97
2023-05-01,00:21,74
2023-05-01,12:59,76
2023-05-02,01:07,62
2023-05-02,13:32,55
2023-05-03,01:45,52
2023-05-03,14:05,35
2023-05-04,02:20,46
2023-05-04,14:38,18
2023-05-05,02:55,43
2023-05-05,15:12,4
2023-05-06,03:30,46
2023-05-06,15:47,-4
2023-05-07,04:05,52
2023-05-07,16:23,-7
2023-05-08,04:41,62
2023-05-08,17:01,-3
2023-05-09,05:18,75
2023-05-09,17:42,7
2023-05-10,05:59,88
2023-05-10,18:28,22
2023-05-11,06:49,100
2023-05-11,19:24,40
2023-05-12,08:00,109
2023-05-12,20:36,56
2023-05-13,09:39,105
2023-05-13,22:04,64
2023-05-14,11:08,88
2023-05-14,23:27,64
2023-05-15,12:14,64
2023-05-16,00:33,59
2023-05-16,13:05,41
2023-05-17,01:25,56
2023-05-17,13:50,21
2023-05-18,02:08,55
2023-05-18,14:30,8
2023-05-19,02:47,59
2023-05-19,15:08,1
2023-05-20,03:23,64
2023-05-20,15:44,0
2023-05-21,03:57,72
2023-05-21,16:18,5
2023-05-22,04:28,80
2023-05-22,16:52,13
2023-05-23,04:59,88
2023-05-23,17:25,25
2023-05-24,05:30,96
2023-05-24,18:00,39
2023-05-25,06:04,103
2023-05-25,18:39,55
2023-05-26,06:47,110
2023-05-26,19:25,70
2023-05-27,07:51,115
2023-05-27,20:26,83
2023-05-28,09:29,113
2023-05-28,21:43,90
2023-05-29,10:57,100
2023-05-29,23:00,90
2023-05-30,11:56,81
2023-05-31,00:04,86
2023-05-31,12:42,61
2023-06-01,00:56,80
2023-06-01,13:24,41
2023-06-02,01:42,75
2023-06-02,14:04,23
2023-06-03,02:25,72
2023-06-03,14:45,8
2023-06-04,03:07,72
2023-06-04,15:27,-1
2023-06-05,03:48,74
2023-06-05,16:10,-4
2023-06-06,04:30,78
2023-06-06,16:54,-2
2023-06-07,05:14,84
2023-06-07,17:40,7
2023-06-08,06:01,89
