date,commutation_time,fastest_time,speed
2023-01-01,02:26,05:09,3.8
2023-01-01,14:16,16:59,4.0
2023-01-02,03:27,06:22,5.2
2023-01-02,15:35,17:54,3.4
2023-01-03,04:17,07:20,6.4
2023-01-03,16:37,18:42,3.2
2023-01-04,04:59,08:06,7.3
2023-01-04,17:23,19:24,3.4
2023-01-05,05:36,08:44,7.8
2023-01-05,17:57,20:02,3.9
2023-01-06,06:09,09:17,7.9
2023-01-06,18:28,20:38,4.5
2023-01-07,06:40,09:49,7.8
2023-01-07,18:59,21:14,5.0
2023-01-08,07:11,10:20,7.7
2023-01-08,19:33,21:51,5.3
2023-01-09,07:41,10:52,7.7
2023-01-09,20:10,22:27,5.2
2023-01-10,08:14,11:24,7.8
2023-01-10,20:49,23:04,4.8
2023-01-11,08:49,11:57,7.8
2023-01-11,21:30,23:42,4.4
2023-01-12,09:27,12:31,7.6
2023-01-13,*22:14,00:25,3.9
2023-01-13,10:07,13:09,7.1
2023-01-14,*23:03,01:16,3.4
2023-01-14,10:51,13:51,6.2
2023-01-15,*23:59,02:21,3.2
2023-01-15,11:43,14:40,5.1
2023-01-16,01:04,03:42,3.5
2023-01-16,12:50,15:39,4.0
2023-01-17,02:09,05:09,4.5
2023-01-17,14:19,16:47,3.2
2023-01-18,03:08,06:23,5.9
2023-01-18,15:42,17:53,3.1
2023-01-19,04:01,07:20,7.3
2023-01-19,16:46,18:51,3.6
2023-01-20,04:52,08:06,8.3
2023-01-20,17:35,19:40,4.5
2023-01-21,05:41,08:48,8.9
2023-01-21,18:18,20:25,5.3
2023-01-22,06:30,09:29,9.1
2023-01-22,19:00,21:10,6.0
2023-01-23,07:18,10:11,9.1
2023-01-23,19:42,21:54,6.5
2023-01-24,08:06,10:55,9.0
2023-01-24,20:26,22:41,6.5
2023-01-25,08:52,11:40,8.8
2023-01-25,21:13,23:31,6.2
2023-01-26,09:37,12:27,8.2
2023-01-27,*22:05,00:27,5.6
2023-01-27,10:22,13:13,7.2
2023-01-28,*23:01,01:34,4.8
2023-01-28,11:08,13:59,5.8
2023-01-29,00:08,02:56,4.2
2023-01-29,12:02,14:50,4.0
2023-01-30,01:25,04:29,4.2
2023-01-30,13:21,15:52,2.3
2023-01-31,02:42,06:01,5.0
2023-01-31,15:20,17:10,1.2
2023-02-01,03:47,07:11,6.1
2023-02-01,16:48,18:19,1.2
2023-02-02,04:39,07:59,7.0
2023-02-02,17:30,19:10,2.0
2023-02-03,05:21,08:36,7.5
2023-02-03,17:56,19:51,3.2
2023-02-04,05:57,09:05,7.7
2023-02-04,18:20,20:27,4.5
2023-02-05,06:29,09:31,7.6
2023-02-05,18:45,21:01,5.5
2023-02-06,06:57,09:55,7.6
2023-02-06,19:13,21:35,6.2
2023-02-07,07:25,10:20,7.7
2023-02-07,19:43,22:08,6.5
2023-02-08,07:53,10:46,7.9
2023-02-08,20:16,22:41,6.5
2023-02-09,08:23,11:14,8.1
2023-02-09,20:49,23:17,6.3
2023-02-10,08:56,11:46,8.0
2023-02-10,21:25,23:58,6.0
2023-02-11,09:31,12:21,7.5
2023-02-12,*22:06,00:46,5.6
2023-02-12,10:09,13:00,6.5
2023-02-13,*22:56,01:44,5.1
2023-02-13,10:53,13:45,5.0
2023-02-14,*23:59,02:57,4.8
2023-02-14,11:55,14:40,3.2
2023-02-15,01:13,04:29,5.0
2023-02-15,13:47,15:56,1.8
2023-02-16,02:30,06:06,6.1
2023-02-16,15:45,17:30,1.6
2023-02-17,03:40,07:11,7.3
2023-02-17,16:51,18:41,2.7
2023-02-18,04:41,07:56,8.3
2023-02-18,17:33,19:32,4.2
2023-02-19,05:35,08:33,8.8
2023-02-19,18:08,20:16,5.8
2023-02-20,06:22,09:09,9.0
2023-02-20,18:43,20:58,7.2
2023-02-21,07:06,09:45,9.0
2023-02-21,19:19,21:40,8.0
2023-02-22,07:47,10:23,8.9
2023-02-22,19:58,22:24,8.2
2023-02-23,08:27,11:02,8.6
2023-02-23,20:40,23:12,7.9
2023-02-24,09:05,11:43,7.9
2023-02-25,*21:25,00:06,7.2
2023-02-25,09:43,12:23,6.8
2023-02-26,*22:15,01:09,6.2
2023-02-26,10:21,13:02,5.1
2023-02-27,*23:12,02:20,5.3
2023-02-27,11:03,13:40,3.2
2023-02-28,00:22,03:46,4.6
2023-02-28,12:12,14:23,1.2
2023-03-01,01:44,05:35,4.9
2023-03-02,03:04,06:54,6.0
2023-03-03,04:08,07:43,6.9
2023-03-03,17:38,19:00,1.3
2023-03-04,04:56,08:17,7.4
2023-03-04,17:47,19:40,3.1
2023-03-05,05:35,08:42,7.5
2023-03-05,18:04,20:14,4.8
2023-03-06,06:06,09:03,7.5
2023-03-06,18:23,20:46,6.2
2023-03-07,06:34,09:22,7.5
2023-03-07,18:47,21:16,7.1
2023-03-08,07:00,09:41,7.7
2023-03-08,19:12,21:45,7.6
2023-03-09,07:27,10:05,7.9
2023-03-09,19:40,22:17,7.8
2023-03-10,07:56,10:33,8.1
2023-03-10,20:11,22:52,7.7
2023-03-11,08:27,11:05,7.9
2023-03-11,20:45,23:33,7.5
2023-03-12,09:01,11:41,7.3
2023-03-13,*21:26,00:23,7.0
2023-03-13,09:39,12:20,6.0
2023-03-14,*22:15,01:23,6.4
2023-03-14,10:23,13:04,4.2
2023-03-15,*23:18,02:36,5.9
2023-03-15,11:32,13:58,2.2
2023-03-16,00:38,04:11,5.7
2023-03-16,14:06,15:24,0.6
2023-03-17,02:04,05:53,6.4
2023-03-17,16:12,17:25,0.8
2023-03-18,03:24,06:54,7.5
2023-03-18,16:51,18:36,2.6
2023-03-19,04:29,07:36,8.2
2023-03-19,17:21,19:24,4.8
2023-03-20,05:22,08:10,8.5
2023-03-20,17:51,20:05,6.8
2023-03-21,06:06,08:41,8.6
2023-03-21,18:22,20:45,8.2
2023-03-22,06:46,09:14,8.6
2023-03-22,18:55,21:25,9.0
2023-03-23,07:23,09:49,8.4
2023-03-23,19:30,22:08,9.2
2023-03-24,07:59,10:26,8.0
2023-03-24,20:09,22:56,8.7
2023-03-25,08:33,11:03,7.2
2023-03-25,20:50,23:50,8.0
2023-03-26,09:08,11:40,6.0
2023-03-27,*21:35,00:49,7.1
2023-03-27,09:44,12:15,4.4
2023-03-28,*22:26,01:51,6.1
2023-03-28,10:25,12:49,2.5
2023-03-29,*23:28,03:04,5.3
2023-03-29,11:40,13:20,0.7
2023-03-30,00:42,04:51,5.2
2023-03-31,02:04,06:16,5.9
2023-04-01,03:19,07:06,6.6
2023-04-01,17:25,18:47,1.2
2023-04-02,04:17,07:40,7.0
2023-04-02,17:25,19:26,3.3
2023-04-03,05:00,08:05,7.1
2023-04-03,17:38,19:58,5.2
2023-04-04,05:34,08:24,7.1
2023-04-04,17:56,20:27,6.7
2023-04-05,06:03,08:41,7.2
2023-04-05,18:17,20:54,7.7
2023-04-06,06:31,09:02,7.4
2023-04-06,18:42,21:23,8.3
2023-04-07,06:59,09:28,7.6
2023-04-07,19:09,21:54,8.5
2023-04-08,07:30,09:58,7.6
2023-04-08,19:40,22:32,8.4
2023-04-09,08:05,10:33,7.2
2023-04-09,20:17,23:17,8.1
2023-04-10,08:42,11:11,6.3
2023-04-11,*21:01,00:13,7.7
2023-04-11,09:26,11:53,4.9
2023-04-12,*21:55,01:18,7.2
2023-04-12,10:23,12:41,3.1
2023-04-13,*23:02,02:30,6.6
2023-04-13,12:01,13:42,1.2
2023-04-14,00:23,04:01,6.4
2023-04-15,01:47,05:30,6.9
2023-04-15,16:02,17:24,1.0
2023-04-16,03:06,06:27,7.4
2023-04-16,16:31,18:29,3.3
2023-04-17,04:11,07:07,7.7
2023-04-17,17:00,19:14,5.6
2023-04-18,05:03,07:41,7.8
2023-04-18,17:29,19:54,7.5
2023-04-19,05:46,08:12,7.7
2023-04-19,18:01,20:34,8.7
2023-04-20,06:24,08:45,7.6
2023-04-20,18:33,21:14,9.2
2023-04-21,06:59,09:18,7.4
2023-04-21,19:07,21:57,9.2
2023-04-22,07:33,09:54,6.9
2023-04-22,19:44,22:45,8.7
2023-04-23,08:07,10:30,6.1
2023-04-23,20:23,23:38,8.1
2023-04-24,08:44,11:07,5.0
2023-04-25,*21:05,00:32,7.5
2023-04-25,09:25,11:45,3.6
2023-04-26,*21:53,01:26,6.8
2023-04-26,10:18,12:22,2.1
2023-04-27,*22:47,02:26,6.1
2023-04-27,11:55,13:04,0.5
2023-04-28,*23:51,03:48,5.7
2023-04-29,01:03,05:14,5.7
2023-04-30,02:17,06:09,6.0
2023-04-30,16:45,18:22,1.3
2023-05-01,03:23,06:48,6.1
2023-05-01,16:48,19:03,3.5
2023-05-02,04:15,07:16,6.2
2023-05-02,17:03,19:36,5.4
2023-05-03,04:56,07:38,6.3
2023-05-03,17:23,20:05,6.9
2023-05-04,05:30,07:59,6.5
2023-05-04,17:47,20:33,7.9
2023-05-05,06:03,08:25,6.7
2023-05-05,18:14,21:03,8.4
2023-05-06,06:36,08:56,6.8
2023-05-06,18:44,21:38,8.6
2023-05-07,07:12,09:30,6.6
2023-05-07,19:20,22:21,8.5
2023-05-08,07:52,10:09,6.1
2023-05-08,20:02,23:14,8.3
2023-05-09,08:37,10:52,5.1
2023-05-10,*20:53,00:13,8.0
2023-05-10,09:31,11:40,3.8
2023-05-11,*21:52,01:16,7.7
2023-05-11,10:43,12:35,2.4
2023-05-12,*22:59,02:24,7.3
2023-05-12,12:21,13:44,1.1
